"Estado","Semana_Epidemiologica","Anio","Incidencia","n","fecha"
"QUINTANA ROO",4,2016,73,73,"2016-01-24"
"COLIMA",4,2016,68,68,"2016-01-24"
"YUCATÁN",4,2016,23,23,"2016-01-24"
"MÉXICO",4,2016,10,10,"2016-01-24"
"SONORA",4,2016,52,52,"2016-01-24"
"COAHUILA",4,2016,2,2,"2016-01-24"
"SAN LUIS POTOSÍ",4,2016,6,6,"2016-01-24"
"DURANGO",4,2016,0,0,"2016-01-24"
"OAXACA",4,2016,73,73,"2016-01-24"
"BAJA CALIFORNIA SUR",4,2016,12,12,"2016-01-24"
"HIDALGO",4,2016,9,9,"2016-01-24"
"CAMPECHE",4,2016,17,17,"2016-01-24"
"ZACATECAS",4,2016,0,0,"2016-01-24"
"GUANAJUATO",4,2016,0,0,"2016-01-24"
"BAJA CALIFORNIA",4,2016,2,2,"2016-01-24"
"CHIHUAHUA",4,2016,0,0,"2016-01-24"
"QUERÉTARO",4,2016,0,0,"2016-01-24"
"AGUASCALIENTES",4,2016,0,0,"2016-01-24"
"CIUDAD DE MÉXICO",4,2016,2,2,"2016-01-24"
"TLAXCALA",4,2016,0,0,"2016-01-24"
"NUEVO LEÓN",5,2016,212,212,"2016-01-31"
"CHIAPAS",5,2016,86,86,"2016-01-31"
"MICHOACÁN",5,2016,41,41,"2016-01-31"
"VERACRUZ",5,2016,95,95,"2016-01-31"
"MORELOS",5,2016,47,47,"2016-01-31"
"TAMAULIPAS",5,2016,53,53,"2016-01-31"
"GUERRERO",5,2016,151,151,"2016-01-31"
"JALISCO",5,2016,245,245,"2016-01-31"
"NAYARIT",5,2016,115,115,"2016-01-31"
"TABASCO",5,2016,59,59,"2016-01-31"
"PUEBLA",5,2016,16,16,"2016-01-31"
"MÉXICO",5,2016,11,11,"2016-01-31"
"QUINTANA ROO",5,2016,51,51,"2016-01-31"
"SINALOA",5,2016,49,49,"2016-01-31"
"COLIMA",5,2016,66,66,"2016-01-31"
"SONORA",5,2016,47,47,"2016-01-31"
"YUCATÁN",5,2016,27,27,"2016-01-31"
"COAHUILA",5,2016,4,4,"2016-01-31"
"SAN LUIS POTOSÍ",5,2016,10,10,"2016-01-31"
"AGUASCALIENTES",5,2016,0,0,"2016-01-31"
"BAJA CALIFORNIA",5,2016,0,0,"2016-01-31"
"BAJA CALIFORNIA SUR",5,2016,12,12,"2016-01-31"
"CAMPECHE",5,2016,15,15,"2016-01-31"
"CHIHUAHUA",5,2016,0,0,"2016-01-31"
"CIUDAD DE MÉXICO",5,2016,0,0,"2016-01-31"
"DURANGO",5,2016,0,0,"2016-01-31"
"GUANAJUATO",5,2016,0,0,"2016-01-31"
"HIDALGO",5,2016,6,6,"2016-01-31"
"OAXACA",5,2016,58,58,"2016-01-31"
"QUERÉTARO",5,2016,0,0,"2016-01-31"
"TLAXCALA",5,2016,0,0,"2016-01-31"
"ZACATECAS",5,2016,0,0,"2016-01-31"
"GUERRERO",6,2016,197,197,"2016-02-07"
"NUEVO LEÓN",6,2016,286,286,"2016-02-07"
"CHIAPAS",6,2016,63,63,"2016-02-07"
"VERACRUZ",6,2016,101,101,"2016-02-07"
"MICHOACÁN",6,2016,43,43,"2016-02-07"
"TAMAULIPAS",6,2016,79,79,"2016-02-07"
"JALISCO",6,2016,325,325,"2016-02-07"
"MORELOS",6,2016,51,51,"2016-02-07"
"NAYARIT",6,2016,183,183,"2016-02-07"
"TABASCO",6,2016,81,81,"2016-02-07"
"PUEBLA",6,2016,29,29,"2016-02-07"
"MÉXICO",6,2016,12,12,"2016-02-07"
"QUINTANA ROO",6,2016,41,41,"2016-02-07"
"SINALOA",6,2016,60,60,"2016-02-07"
"COLIMA",6,2016,100,100,"2016-02-07"
"SONORA",6,2016,26,26,"2016-02-07"
"YUCATÁN",6,2016,19,19,"2016-02-07"
"COAHUILA",6,2016,9,9,"2016-02-07"
"SAN LUIS POTOSÍ",6,2016,27,27,"2016-02-07"
"CAMPECHE",6,2016,21,21,"2016-02-07"
"AGUASCALIENTES",6,2016,0,0,"2016-02-07"
"BAJA CALIFORNIA",6,2016,4,4,"2016-02-07"
"BAJA CALIFORNIA SUR",6,2016,17,17,"2016-02-07"
"CHIHUAHUA",6,2016,0,0,"2016-02-07"
"CIUDAD DE MÉXICO",6,2016,-1,-1,"2016-02-07"
"DURANGO",6,2016,0,0,"2016-02-07"
"GUANAJUATO",6,2016,2,2,"2016-02-07"
"HIDALGO",6,2016,14,14,"2016-02-07"
"OAXACA",6,2016,71,71,"2016-02-07"
"QUERÉTARO",6,2016,2,2,"2016-02-07"
"TLAXCALA",6,2016,0,0,"2016-02-07"
"ZACATECAS",6,2016,1,1,"2016-02-07"
"NUEVO LEÓN",7,2016,313,313,"2016-02-14"
"GUERRERO",7,2016,259,259,"2016-02-14"
"CHIAPAS",7,2016,92,92,"2016-02-14"
"VERACRUZ",7,2016,193,193,"2016-02-14"
"TAMAULIPAS",7,2016,83,83,"2016-02-14"
"MICHOACÁN",7,2016,72,72,"2016-02-14"
"MORELOS",7,2016,75,75,"2016-02-14"
"JALISCO",7,2016,319,319,"2016-02-14"
"TABASCO",7,2016,86,86,"2016-02-14"
"PUEBLA",7,2016,40,40,"2016-02-14"
"NAYARIT",7,2016,214,214,"2016-02-14"
"SINALOA",7,2016,83,83,"2016-02-14"
"MÉXICO",7,2016,21,21,"2016-02-14"
"QUINTANA ROO",7,2016,54,54,"2016-02-14"
"YUCATÁN",7,2016,28,28,"2016-02-14"
"COLIMA",7,2016,91,91,"2016-02-14"
"SONORA",7,2016,41,41,"2016-02-14"
"COAHUILA",7,2016,6,6,"2016-02-14"
"SAN LUIS POTOSÍ",7,2016,25,25,"2016-02-14"
"CAMPECHE",7,2016,25,25,"2016-02-14"
"HIDALGO",7,2016,15,15,"2016-02-14"
"AGUASCALIENTES",7,2016,0,0,"2016-02-14"
"BAJA CALIFORNIA",7,2016,2,2,"2016-02-14"
"BAJA CALIFORNIA SUR",7,2016,27,27,"2016-02-14"
"CHIHUAHUA",7,2016,0,0,"2016-02-14"
"CIUDAD DE MÉXICO",7,2016,0,0,"2016-02-14"
"DURANGO",7,2016,1,1,"2016-02-14"
"GUANAJUATO",7,2016,2,2,"2016-02-14"
"OAXACA",7,2016,87,87,"2016-02-14"
"QUERÉTARO",7,2016,0,0,"2016-02-14"
"TLAXCALA",7,2016,0,0,"2016-02-14"
"ZACATECAS",7,2016,0,0,"2016-02-14"
"GUERRERO",8,2016,259,259,"2016-02-21"
"NUEVO LEÓN",8,2016,258,258,"2016-02-21"
"CHIAPAS",8,2016,66,66,"2016-02-21"
"VERACRUZ",8,2016,166,166,"2016-02-21"
"MICHOACÁN",8,2016,72,72,"2016-02-21"
"TAMAULIPAS",8,2016,107,107,"2016-02-21"
"MORELOS",8,2016,58,58,"2016-02-21"
"JALISCO",8,2016,239,239,"2016-02-21"
"TABASCO",8,2016,59,59,"2016-02-21"
"PUEBLA",8,2016,31,31,"2016-02-21"
"NAYARIT",8,2016,182,182,"2016-02-21"
"SINALOA",8,2016,74,74,"2016-02-21"
"YUCATÁN",8,2016,38,38,"2016-02-21"
"QUINTANA ROO",8,2016,71,71,"2016-02-21"
"MÉXICO",8,2016,30,30,"2016-02-21"
"COLIMA",8,2016,102,102,"2016-02-21"
"SONORA",8,2016,47,47,"2016-02-21"
"SAN LUIS POTOSÍ",8,2016,27,27,"2016-02-21"
"HIDALGO",8,2016,12,12,"2016-02-21"
"COAHUILA",8,2016,8,8,"2016-02-21"
"CAMPECHE",8,2016,12,12,"2016-02-21"
"AGUASCALIENTES",8,2016,0,0,"2016-02-21"
"BAJA CALIFORNIA",8,2016,9,9,"2016-02-21"
"BAJA CALIFORNIA SUR",8,2016,35,35,"2016-02-21"
"CHIHUAHUA",8,2016,0,0,"2016-02-21"
"CIUDAD DE MÉXICO",8,2016,0,0,"2016-02-21"
"DURANGO",8,2016,2,2,"2016-02-21"
"GUANAJUATO",8,2016,1,1,"2016-02-21"
"OAXACA",8,2016,62,62,"2016-02-21"
"QUERÉTARO",8,2016,0,0,"2016-02-21"
"TLAXCALA",8,2016,0,0,"2016-02-21"
"ZACATECAS",8,2016,0,0,"2016-02-21"
"NUEVO LEÓN",9,2016,217,217,"2016-02-28"
"VERACRUZ",9,2016,154,154,"2016-02-28"
"GUERRERO",9,2016,214,214,"2016-02-28"
"CHIAPAS",9,2016,75,75,"2016-02-28"
"MICHOACÁN",9,2016,75,75,"2016-02-28"
"TAMAULIPAS",9,2016,116,116,"2016-02-28"
"JALISCO",9,2016,203,203,"2016-02-28"
"MORELOS",9,2016,58,58,"2016-02-28"
"TABASCO",9,2016,54,54,"2016-02-28"
"PUEBLA",9,2016,65,65,"2016-02-28"
"NAYARIT",9,2016,157,157,"2016-02-28"
"SINALOA",9,2016,61,61,"2016-02-28"
"YUCATÁN",9,2016,40,40,"2016-02-28"
"MÉXICO",9,2016,22,22,"2016-02-28"
"QUINTANA ROO",9,2016,39,39,"2016-02-28"
"COLIMA",9,2016,108,108,"2016-02-28"
"SONORA",9,2016,27,27,"2016-02-28"
"SAN LUIS POTOSÍ",9,2016,63,63,"2016-02-28"
"HIDALGO",9,2016,9,9,"2016-02-28"
"COAHUILA",9,2016,8,8,"2016-02-28"
"CAMPECHE",9,2016,25,25,"2016-02-28"
"AGUASCALIENTES",9,2016,0,0,"2016-02-28"
"BAJA CALIFORNIA",9,2016,2,2,"2016-02-28"
"BAJA CALIFORNIA SUR",9,2016,33,33,"2016-02-28"
"CHIHUAHUA",9,2016,0,0,"2016-02-28"
"CIUDAD DE MÉXICO",9,2016,-1,-1,"2016-02-28"
"DURANGO",9,2016,2,2,"2016-02-28"
"GUANAJUATO",9,2016,0,0,"2016-02-28"
"OAXACA",9,2016,60,60,"2016-02-28"
"QUERÉTARO",9,2016,1,1,"2016-02-28"
"TLAXCALA",9,2016,0,0,"2016-02-28"
"ZACATECAS",9,2016,1,1,"2016-02-28"
"NUEVO LEÓN",10,2016,210,210,"2016-03-06"
"VERACRUZ",10,2016,189,189,"2016-03-06"
"CHIAPAS",10,2016,65,65,"2016-03-06"
"GUERRERO",10,2016,199,199,"2016-03-06"
"MICHOACÁN",10,2016,60,60,"2016-03-06"
"TAMAULIPAS",10,2016,131,131,"2016-03-06"
"JALISCO",10,2016,196,196,"2016-03-06"
"MORELOS",10,2016,46,46,"2016-03-06"
"TABASCO",10,2016,77,77,"2016-03-06"
"PUEBLA",10,2016,43,43,"2016-03-06"
"SINALOA",10,2016,33,33,"2016-03-06"
"NAYARIT",10,2016,82,82,"2016-03-06"
"YUCATÁN",10,2016,37,37,"2016-03-06"
"QUINTANA ROO",10,2016,33,33,"2016-03-06"
"MÉXICO",10,2016,23,23,"2016-03-06"
"COLIMA",10,2016,92,92,"2016-03-06"
"SONORA",10,2016,24,24,"2016-03-06"
"SAN LUIS POTOSÍ",10,2016,44,44,"2016-03-06"
"HIDALGO",10,2016,11,11,"2016-03-06"
"COAHUILA",10,2016,5,5,"2016-03-06"
"CAMPECHE",10,2016,20,20,"2016-03-06"
"AGUASCALIENTES",10,2016,0,0,"2016-03-06"
"BAJA CALIFORNIA",10,2016,11,11,"2016-03-06"
"BAJA CALIFORNIA SUR",10,2016,47,47,"2016-03-06"
"CHIHUAHUA",10,2016,1,1,"2016-03-06"
"CIUDAD DE MÉXICO",10,2016,0,0,"2016-03-06"
"DURANGO",10,2016,0,0,"2016-03-06"
"GUANAJUATO",10,2016,0,0,"2016-03-06"
"OAXACA",10,2016,49,49,"2016-03-06"
"QUERÉTARO",10,2016,2,2,"2016-03-06"
"TLAXCALA",10,2016,0,0,"2016-03-06"
"ZACATECAS",10,2016,0,0,"2016-03-06"
"NUEVO LEÓN",11,2016,211,211,"2016-03-13"
"VERACRUZ",11,2016,168,168,"2016-03-13"
"CHIAPAS",11,2016,122,122,"2016-03-13"
"GUERRERO",11,2016,165,165,"2016-03-13"
"MICHOACÁN",11,2016,60,60,"2016-03-13"
"TAMAULIPAS",11,2016,117,117,"2016-03-13"
"JALISCO",11,2016,107,107,"2016-03-13"
"MORELOS",11,2016,49,49,"2016-03-13"
"TABASCO",11,2016,51,51,"2016-03-13"
"PUEBLA",11,2016,21,21,"2016-03-13"
"NAYARIT",11,2016,101,101,"2016-03-13"
"SINALOA",11,2016,41,41,"2016-03-13"
"QUINTANA ROO",11,2016,55,55,"2016-03-13"
"YUCATÁN",11,2016,44,44,"2016-03-13"
"MÉXICO",11,2016,9,9,"2016-03-13"
"SONORA",11,2016,23,23,"2016-03-13"
"COLIMA",11,2016,66,66,"2016-03-13"
"SAN LUIS POTOSÍ",11,2016,94,94,"2016-03-13"
"HIDALGO",11,2016,7,7,"2016-03-13"
"COAHUILA",11,2016,2,2,"2016-03-13"
"CAMPECHE",11,2016,28,28,"2016-03-13"
"AGUASCALIENTES",11,2016,1,1,"2016-03-13"
"BAJA CALIFORNIA",11,2016,2,2,"2016-03-13"
"BAJA CALIFORNIA SUR",11,2016,40,40,"2016-03-13"
"CHIHUAHUA",11,2016,0,0,"2016-03-13"
"CIUDAD DE MÉXICO",11,2016,0,0,"2016-03-13"
"DURANGO",11,2016,0,0,"2016-03-13"
"GUANAJUATO",11,2016,0,0,"2016-03-13"
"OAXACA",11,2016,50,50,"2016-03-13"
"QUERÉTARO",11,2016,0,0,"2016-03-13"
"TLAXCALA",11,2016,0,0,"2016-03-13"
"ZACATECAS",11,2016,0,0,"2016-03-13"
"VERACRUZ",12,2016,54,54,"2016-03-20"
"NUEVO LEÓN",12,2016,41,41,"2016-03-20"
"CHIAPAS",12,2016,30,30,"2016-03-20"
"GUERRERO",12,2016,81,81,"2016-03-20"
"TAMAULIPAS",12,2016,16,16,"2016-03-20"
"MICHOACÁN",12,2016,33,33,"2016-03-20"
"JALISCO",12,2016,59,59,"2016-03-20"
"MORELOS",12,2016,11,11,"2016-03-20"
"TABASCO",12,2016,30,30,"2016-03-20"
"PUEBLA",12,2016,10,10,"2016-03-20"
"NAYARIT",12,2016,35,35,"2016-03-20"
"QUINTANA ROO",12,2016,21,21,"2016-03-20"
"SINALOA",12,2016,5,5,"2016-03-20"
"YUCATÁN",12,2016,9,9,"2016-03-20"
"MÉXICO",12,2016,10,10,"2016-03-20"
"SONORA",12,2016,14,14,"2016-03-20"
"COLIMA",12,2016,26,26,"2016-03-20"
"SAN LUIS POTOSÍ",12,2016,17,17,"2016-03-20"
"OAXACA",12,2016,44,44,"2016-03-20"
"HIDALGO",12,2016,8,8,"2016-03-20"
"COAHUILA",12,2016,2,2,"2016-03-20"
"CAMPECHE",12,2016,6,6,"2016-03-20"
"AGUASCALIENTES",12,2016,0,0,"2016-03-20"
"BAJA CALIFORNIA",12,2016,2,2,"2016-03-20"
"BAJA CALIFORNIA SUR",12,2016,16,16,"2016-03-20"
"CHIHUAHUA",12,2016,0,0,"2016-03-20"
"CIUDAD DE MÉXICO",12,2016,0,0,"2016-03-20"
"DURANGO",12,2016,0,0,"2016-03-20"
"GUANAJUATO",12,2016,0,0,"2016-03-20"
"QUERÉTARO",12,2016,0,0,"2016-03-20"
"TLAXCALA",12,2016,0,0,"2016-03-20"
"ZACATECAS",12,2016,0,0,"2016-03-20"
"VERACRUZ",13,2016,100,100,"2016-03-27"
"CHIAPAS",13,2016,65,65,"2016-03-27"
"NUEVO LEÓN",13,2016,123,123,"2016-03-27"
"GUERRERO",13,2016,86,86,"2016-03-27"
"TAMAULIPAS",13,2016,66,66,"2016-03-27"
"MICHOACÁN",13,2016,47,47,"2016-03-27"
"JALISCO",13,2016,84,84,"2016-03-27"
"MORELOS",13,2016,30,30,"2016-03-27"
"PUEBLA",13,2016,31,31,"2016-03-27"
"TABASCO",13,2016,47,47,"2016-03-27"
"NAYARIT",13,2016,60,60,"2016-03-27"
"QUINTANA ROO",13,2016,24,24,"2016-03-27"
"SINALOA",13,2016,27,27,"2016-03-27"
"YUCATÁN",13,2016,26,26,"2016-03-27"
"MÉXICO",13,2016,16,16,"2016-03-27"
"SONORA",13,2016,12,12,"2016-03-27"
"COLIMA",13,2016,50,50,"2016-03-27"
"SAN LUIS POTOSÍ",13,2016,17,17,"2016-03-27"
"OAXACA",13,2016,50,50,"2016-03-27"
"HIDALGO",13,2016,9,9,"2016-03-27"
"COAHUILA",13,2016,8,8,"2016-03-27"
"CAMPECHE",13,2016,19,19,"2016-03-27"
"BAJA CALIFORNIA",13,2016,4,4,"2016-03-27"
"AGUASCALIENTES",13,2016,0,0,"2016-03-27"
"BAJA CALIFORNIA SUR",13,2016,22,22,"2016-03-27"
"CHIHUAHUA",13,2016,1,1,"2016-03-27"
"CIUDAD DE MÉXICO",13,2016,0,0,"2016-03-27"
"DURANGO",13,2016,1,1,"2016-03-27"
"GUANAJUATO",13,2016,0,0,"2016-03-27"
"QUERÉTARO",13,2016,1,1,"2016-03-27"
"TLAXCALA",13,2016,0,0,"2016-03-27"
"ZACATECAS",13,2016,0,0,"2016-03-27"
"VERACRUZ",14,2016,99,99,"2016-04-03"
"CHIAPAS",14,2016,76,76,"2016-04-03"
"NUEVO LEÓN",14,2016,143,143,"2016-04-03"
"GUERRERO",14,2016,101,101,"2016-04-03"
"TAMAULIPAS",14,2016,57,57,"2016-04-03"
"MICHOACÁN",14,2016,66,66,"2016-04-03"
"JALISCO",14,2016,75,75,"2016-04-03"
"MORELOS",14,2016,27,27,"2016-04-03"
"PUEBLA",14,2016,18,18,"2016-04-03"
"NAYARIT",14,2016,44,44,"2016-04-03"
"TABASCO",14,2016,66,66,"2016-04-03"
"QUINTANA ROO",14,2016,22,22,"2016-04-03"
"SINALOA",14,2016,32,32,"2016-04-03"
"YUCATÁN",14,2016,27,27,"2016-04-03"
"SONORA",14,2016,16,16,"2016-04-03"
"MÉXICO",14,2016,11,11,"2016-04-03"
"COLIMA",14,2016,56,56,"2016-04-03"
"SAN LUIS POTOSÍ",14,2016,27,27,"2016-04-03"
"OAXACA",14,2016,64,64,"2016-04-03"
"HIDALGO",14,2016,12,12,"2016-04-03"
"COAHUILA",14,2016,4,4,"2016-04-03"
"CAMPECHE",14,2016,20,20,"2016-04-03"
"BAJA CALIFORNIA",14,2016,7,7,"2016-04-03"
"AGUASCALIENTES",14,2016,0,0,"2016-04-03"
"BAJA CALIFORNIA SUR",14,2016,17,17,"2016-04-03"
"CHIHUAHUA",14,2016,0,0,"2016-04-03"
"CIUDAD DE MÉXICO",14,2016,2,2,"2016-04-03"
"DURANGO",14,2016,1,1,"2016-04-03"
"GUANAJUATO",14,2016,1,1,"2016-04-03"
"QUERÉTARO",14,2016,0,0,"2016-04-03"
"TLAXCALA",14,2016,0,0,"2016-04-03"
"ZACATECAS",14,2016,0,0,"2016-04-03"
"CHIAPAS",15,2016,39,39,"2016-04-10"
"VERACRUZ",15,2016,90,90,"2016-04-10"
"NUEVO LEÓN",15,2016,172,172,"2016-04-10"
"GUERRERO",15,2016,121,121,"2016-04-10"
"MICHOACÁN",15,2016,58,58,"2016-04-10"
"TAMAULIPAS",15,2016,67,67,"2016-04-10"
"JALISCO",15,2016,78,78,"2016-04-10"
"MORELOS",15,2016,27,27,"2016-04-10"
"PUEBLA",15,2016,14,14,"2016-04-10"
"NAYARIT",15,2016,31,31,"2016-04-10"
"TABASCO",15,2016,57,57,"2016-04-10"
"QUINTANA ROO",15,2016,20,20,"2016-04-10"
"SINALOA",15,2016,16,16,"2016-04-10"
"YUCATÁN",15,2016,31,31,"2016-04-10"
"SONORA",15,2016,33,33,"2016-04-10"
"MÉXICO",15,2016,1,1,"2016-04-10"
"COLIMA",15,2016,45,45,"2016-04-10"
"SAN LUIS POTOSÍ",15,2016,34,34,"2016-04-10"
"OAXACA",15,2016,64,64,"2016-04-10"
"HIDALGO",15,2016,7,7,"2016-04-10"
"COAHUILA",15,2016,8,8,"2016-04-10"
"CAMPECHE",15,2016,19,19,"2016-04-10"
"BAJA CALIFORNIA",15,2016,4,4,"2016-04-10"
"AGUASCALIENTES",15,2016,0,0,"2016-04-10"
"BAJA CALIFORNIA SUR",15,2016,17,17,"2016-04-10"
"CHIHUAHUA",15,2016,0,0,"2016-04-10"
"CIUDAD DE MÉXICO",15,2016,0,0,"2016-04-10"
"DURANGO",15,2016,0,0,"2016-04-10"
"GUANAJUATO",15,2016,0,0,"2016-04-10"
"QUERÉTARO",15,2016,-1,-1,"2016-04-10"
"TLAXCALA",15,2016,1,1,"2016-04-10"
"ZACATECAS",15,2016,0,0,"2016-04-10"
"CHIAPAS",17,2016,86,86,"2016-04-24"
"VERACRUZ",17,2016,156,156,"2016-04-24"
"NUEVO LEÓN",17,2016,382,382,"2016-04-24"
"GUERRERO",17,2016,200,200,"2016-04-24"
"MICHOACÁN",17,2016,169,169,"2016-04-24"
"TAMAULIPAS",17,2016,144,144,"2016-04-24"
"JALISCO",17,2016,159,159,"2016-04-24"
"MORELOS",17,2016,73,73,"2016-04-24"
"PUEBLA",17,2016,39,39,"2016-04-24"
"QUINTANA ROO",17,2016,60,60,"2016-04-24"
"TABASCO",17,2016,96,96,"2016-04-24"
"NAYARIT",17,2016,63,63,"2016-04-24"
"SINALOA",17,2016,39,39,"2016-04-24"
"YUCATÁN",17,2016,48,48,"2016-04-24"
"SONORA",17,2016,35,35,"2016-04-24"
"MÉXICO",17,2016,26,26,"2016-04-24"
"SAN LUIS POTOSÍ",17,2016,41,41,"2016-04-24"
"COLIMA",17,2016,96,96,"2016-04-24"
"OAXACA",17,2016,125,125,"2016-04-24"
"HIDALGO",17,2016,13,13,"2016-04-24"
"COAHUILA",17,2016,13,13,"2016-04-24"
"BAJA CALIFORNIA",17,2016,13,13,"2016-04-24"
"CAMPECHE",17,2016,37,37,"2016-04-24"
"BAJA CALIFORNIA SUR",17,2016,39,39,"2016-04-24"
"AGUASCALIENTES",17,2016,0,0,"2016-04-24"
"CHIHUAHUA",17,2016,1,1,"2016-04-24"
"CIUDAD DE MÉXICO",17,2016,-2,-2,"2016-04-24"
"DURANGO",17,2016,4,4,"2016-04-24"
"GUANAJUATO",17,2016,1,1,"2016-04-24"
"QUERÉTARO",17,2016,1,1,"2016-04-24"
"TLAXCALA",17,2016,0,0,"2016-04-24"
"ZACATECAS",17,2016,0,0,"2016-04-24"
"CHIAPAS",18,2016,49,49,"2016-05-01"
"VERACRUZ",18,2016,84,84,"2016-05-01"
"NUEVO LEÓN",18,2016,143,143,"2016-05-01"
"GUERRERO",18,2016,86,86,"2016-05-01"
"MICHOACÁN",18,2016,50,50,"2016-05-01"
"JALISCO",18,2016,59,59,"2016-05-01"
"TAMAULIPAS",18,2016,47,47,"2016-05-01"
"MORELOS",18,2016,37,37,"2016-05-01"
"PUEBLA",18,2016,15,15,"2016-05-01"
"QUINTANA ROO",18,2016,18,18,"2016-05-01"
"TABASCO",18,2016,37,37,"2016-05-01"
"NAYARIT",18,2016,32,32,"2016-05-01"
"MÉXICO",18,2016,29,29,"2016-05-01"
"SINALOA",18,2016,19,19,"2016-05-01"
"YUCATÁN",18,2016,32,32,"2016-05-01"
"SONORA",18,2016,13,13,"2016-05-01"
"SAN LUIS POTOSÍ",18,2016,21,21,"2016-05-01"
"COLIMA",18,2016,30,30,"2016-05-01"
"OAXACA",18,2016,47,47,"2016-05-01"
"HIDALGO",18,2016,5,5,"2016-05-01"
"COAHUILA",18,2016,6,6,"2016-05-01"
"BAJA CALIFORNIA",18,2016,7,7,"2016-05-01"
"CAMPECHE",18,2016,20,20,"2016-05-01"
"BAJA CALIFORNIA SUR",18,2016,5,5,"2016-05-01"
"AGUASCALIENTES",18,2016,0,0,"2016-05-01"
"CHIHUAHUA",18,2016,0,0,"2016-05-01"
"CIUDAD DE MÉXICO",18,2016,0,0,"2016-05-01"
"DURANGO",18,2016,2,2,"2016-05-01"
"GUANAJUATO",18,2016,2,2,"2016-05-01"
"QUERÉTARO",18,2016,0,0,"2016-05-01"
"TLAXCALA",18,2016,0,0,"2016-05-01"
"ZACATECAS",18,2016,0,0,"2016-05-01"
"CHIAPAS",19,2016,96,96,"2016-05-08"
"VERACRUZ",19,2016,72,72,"2016-05-08"
"NUEVO LEÓN",19,2016,184,184,"2016-05-08"
"GUERRERO",19,2016,105,105,"2016-05-08"
"MICHOACÁN",19,2016,41,41,"2016-05-08"
"JALISCO",19,2016,65,65,"2016-05-08"
"TAMAULIPAS",19,2016,68,68,"2016-05-08"
"MORELOS",19,2016,52,52,"2016-05-08"
"MÉXICO",19,2016,22,22,"2016-05-08"
"PUEBLA",19,2016,20,20,"2016-05-08"
"QUINTANA ROO",19,2016,11,11,"2016-05-08"
"TABASCO",19,2016,47,47,"2016-05-08"
"NAYARIT",19,2016,37,37,"2016-05-08"
"YUCATÁN",19,2016,35,35,"2016-05-08"
"SINALOA",19,2016,25,25,"2016-05-08"
"SONORA",19,2016,12,12,"2016-05-08"
"SAN LUIS POTOSÍ",19,2016,9,9,"2016-05-08"
"COLIMA",19,2016,63,63,"2016-05-08"
"OAXACA",19,2016,22,22,"2016-05-08"
"HIDALGO",19,2016,3,3,"2016-05-08"
"COAHUILA",19,2016,3,3,"2016-05-08"
"BAJA CALIFORNIA",19,2016,4,4,"2016-05-08"
"BAJA CALIFORNIA SUR",19,2016,11,11,"2016-05-08"
"CAMPECHE",19,2016,19,19,"2016-05-08"
"AGUASCALIENTES",19,2016,0,0,"2016-05-08"
"CHIHUAHUA",19,2016,0,0,"2016-05-08"
"CIUDAD DE MÉXICO",19,2016,1,1,"2016-05-08"
"DURANGO",19,2016,0,0,"2016-05-08"
"GUANAJUATO",19,2016,2,2,"2016-05-08"
"QUERÉTARO",19,2016,1,1,"2016-05-08"
"TLAXCALA",19,2016,0,0,"2016-05-08"
"ZACATECAS",19,2016,1,1,"2016-05-08"
"CHIAPAS",20,2016,93,93,"2016-05-15"
"VERACRUZ",20,2016,95,95,"2016-05-15"
"NUEVO LEÓN",20,2016,150,150,"2016-05-15"
"GUERRERO",20,2016,135,135,"2016-05-15"
"MICHOACÁN",20,2016,77,77,"2016-05-15"
"JALISCO",20,2016,56,56,"2016-05-15"
"TAMAULIPAS",20,2016,79,79,"2016-05-15"
"MORELOS",20,2016,42,42,"2016-05-15"
"MÉXICO",20,2016,47,47,"2016-05-15"
"PUEBLA",20,2016,16,16,"2016-05-15"
"NAYARIT",20,2016,37,37,"2016-05-15"
"QUINTANA ROO",20,2016,23,23,"2016-05-15"
"TABASCO",20,2016,46,46,"2016-05-15"
"YUCATÁN",20,2016,25,25,"2016-05-15"
"SINALOA",20,2016,16,16,"2016-05-15"
"SONORA",20,2016,15,15,"2016-05-15"
"SAN LUIS POTOSÍ",20,2016,20,20,"2016-05-15"
"COLIMA",20,2016,62,62,"2016-05-15"
"OAXACA",20,2016,62,62,"2016-05-15"
"COAHUILA",20,2016,11,11,"2016-05-15"
"HIDALGO",20,2016,3,3,"2016-05-15"
"BAJA CALIFORNIA",20,2016,5,5,"2016-05-15"
"BAJA CALIFORNIA SUR",20,2016,20,20,"2016-05-15"
"CAMPECHE",20,2016,17,17,"2016-05-15"
"AGUASCALIENTES",20,2016,0,0,"2016-05-15"
"CHIHUAHUA",20,2016,0,0,"2016-05-15"
"CIUDAD DE MÉXICO",20,2016,0,0,"2016-05-15"
"DURANGO",20,2016,1,1,"2016-05-15"
"GUANAJUATO",20,2016,3,3,"2016-05-15"
"QUERÉTARO",20,2016,1,1,"2016-05-15"
"TLAXCALA",20,2016,0,0,"2016-05-15"
"ZACATECAS",20,2016,0,0,"2016-05-15"
"CHIAPAS",21,2016,97,97,"2016-05-22"
"VERACRUZ",21,2016,108,108,"2016-05-22"
"NUEVO LEÓN",21,2016,206,206,"2016-05-22"
"GUERRERO",21,2016,125,125,"2016-05-22"
"JALISCO",21,2016,87,87,"2016-05-22"
