Estado,Probables (año pasado),Probables (año actual),Confirmados Dengue No Grave (año pasado),Confirmados Dengue No Grave (año actual),Dengue con Signos de Alarma y Dengue Grave (año pasado),Dengue con Signos de Alarma y Dengue Grave (año actual),Total Confirmados (año pasado),Total Confirmados (año actual),Defunciones (año pasado),Defunciones (año actual),Semana_Epidemiologica,Anio
CHIAPAS,"3,618","10,545",453,760,779.0,"2,599","1,232","3,359",10.0,40.0,52,2018
VERACRUZ,"5,702","15,895","1,031","2,239",324.0,467,"1,355","2,706",6.0,12.0,52,2018
JALISCO,"11,815","14,917",986,"2,210",129.0,441,"1,115","2,651",4.0,6.0,52,2018
NUEVO LEÓN,"12,255","6,120","1,388",535,573.0,452,"1,961",987,1.0,0.0,52,2018
SAN LUIS POTOSÍ,711,"2,253",116,630,4.0,30,120,660,0.0,0.0,52,2018
MICHOACÁN,"1,936","2,099",305,312,25.0,9,330,321,1.0,2.0,52,2018
OAXACA,"1,994","5,111",88,179,18.0,125,106,304,3.0,7.0,52,2018
QUINTANA ROO,885,"1,609",94,163,36.0,41,130,204,1.0,0.0,52,2018
TAMAULIPAS,"5,428","1,881",485,180,43.0,23,528,203,1.0,1.0,52,2018
BAJA CALIFORNIA SUR,605,"1,872",30,150,2.0,36,32,186,1.0,0.0,52,2018
HIDALGO,954,439,404,134,7.0,5,411,139,0.0,0.0,52,2018
PUEBLA,"2,121",785,462,129,44.0,1,506,130,5.0,0.0,52,2018
GUERRERO,"1,782","1,972",203,66,159.0,54,362,120,2.0,2.0,52,2018
MÉXICO,"1,627",733,457,110,8.0,1,465,111,0.0,0.0,52,2018
SINALOA,"1,714","2,221",70,97,8.0,7,78,104,0.0,0.0,52,2018
NAYARIT,"2,578","1,232",74,70,22.0,29,96,99,1.0,1.0,52,2018
MORELOS,"3,406","1,575",58,19,152.0,79,210,98,5.0,0.0,52,2018
TABASCO,913,"1,146",55,56,32.0,36,87,92,1.0,1.0,52,2018
COAHUILA,"3,132",876,65,57,47.0,13,112,70,3.0,3.0,52,2018
COLIMA,"1,402","1,494",40,41,11.0,20,51,61,0.0,0.0,52,2018
GUANAJUATO,"20,432",921,"3,836",38,305.0,1,"4,141",39,14.0,0.0,52,2018
SONORA,"1,340",982,145,25,13.0,2,158,27,4.0,0.0,52,2018
YUCATÁN,"1,403","1,125",76,13,35.0,6,111,19,1.0,0.0,52,2018
DURANGO,990,70,356,7,12.0,0,368,7,1.0,0.0,52,2018
BAJA CALIFORNIA,161,86,11,4,0.0,0,11,4,0.0,0.0,52,2018
ZACATECAS,33,24,0,3,0.0,0,0,3,0.0,0.0,52,2018
QUERÉTARO,211,42,38,2,0.0,0,38,2,0.0,0.0,52,2018
AGUASCALIENTES,17,17,4,0,0.0,0,4,0,0.0,0.0,52,2018
CAMPECHE,501,349,5,0,5.0,0,10,0,0.0,0.0,52,2018
CHIHUAHUA,57,16,9,0,1.0,0,10,0,0.0,0.0,52,2018
CD MÉXICO,158,203,0,0,0.0,0,0,0,0.0,0.0,52,2018
TLAXCALA,12,11,0,0,0.0,0,0,0,0.0,0.0,52,2018
CHIAPAS,"1,460","2,418",170.0,145.0,235.0,633.0,405.0,778.0,0.0,2.0,25,2018
VERACRUZ,"1,570","1,677",170.0,101.0,61.0,22.0,231.0,123.0,0.0,0.0,25,2018
JALISCO,"2,066","1,550",127.0,107.0,13.0,13.0,140.0,120.0,0.0,0.0,25,2018
MÉXICO,403,200,72.0,34.0,1.0,0.0,73.0,34.0,0.0,0.0,25,2018
SAN LUIS POTOSÍ,266,261,33.0,33.0,0.0,0.0,33.0,33.0,0.0,0.0,25,2018
MICHOACÁN,617,533,80.0,22.0,9.0,2.0,89.0,24.0,0.0,1.0,25,2018
TAMAULIPAS,"1,052",584,110.0,19.0,8.0,5.0,118.0,24.0,0.0,0.0,25,2018
GUERRERO,773,575,86.0,9.0,76.0,10.0,162.0,19.0,0.0,0.0,25,2018
NUEVO LEÓN,"2,164",600,191.0,3.0,7.0,4.0,198.0,7.0,0.0,0.0,25,2018
QUINTANA ROO,362,411,44.0,6.0,12.0,1.0,56.0,7.0,1.0,0.0,25,2018
GUANAJUATO,79,451,21.0,6.0,0.0,0.0,21.0,6.0,0.0,0.0,25,2018
NAYARIT,986,226,48.0,2.0,15.0,4.0,63.0,6.0,0.0,0.0,25,2018
PUEBLA,574,188,71.0,6.0,8.0,0.0,79.0,6.0,1.0,0.0,25,2018
COLIMA,452,446,26.0,1.0,5.0,3.0,31.0,4.0,0.0,0.0,25,2018
HIDALGO,158,90,18.0,3.0,0.0,0.0,18.0,3.0,0.0,0.0,25,2018
MORELOS,930,502,39.0,0.0,47.0,3.0,86.0,3.0,0.0,0.0,25,2018
OAXACA,548,525,16.0,3.0,6.0,0.0,22.0,3.0,0.0,0.0,25,2018
SINALOA,390,339,34.0,2.0,0.0,0.0,34.0,2.0,0.0,0.0,25,2018
TABASCO,412,241,30.0,1.0,17.0,0.0,47.0,1.0,0.0,0.0,25,2018
AGUASCALIENTES,7,10,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25,2018
BAJA CALIFORNIA,72,36,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,25,2018
BAJA CALIFORNIA SUR,134,162,5.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,25,2018
CAMPECHE,195,135,3.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,25,2018
COAHUILA,118,57,6.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,25,2018
CHIHUAHUA,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2018
DISTRITO FEDERAL,57,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2018
DURANGO,30,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2018
QUERÉTARO,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2018
SONORA,476,190,33.0,0.0,5.0,0.0,38.0,0.0,1.0,0.0,25,2018
TLAXCALA,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2018
YUCATÁN,447,385,37.0,0.0,13.0,0.0,50.0,0.0,0.0,0.0,25,2018
ZACATECAS,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2018
CHIAPAS,"1,315","2,096",160.0,121.0,195.0,607.0,355.0,728.0,0.0,2.0,24,2018
JALISCO,"1,859","1,418",121.0,95.0,13.0,9.0,134.0,104.0,0.0,0.0,24,2018
VERACRUZ,"1,411","1,506",140.0,78.0,58.0,20.0,198.0,98.0,0.0,0.0,24,2018
SAN LUIS POTOSÍ,245,195,32.0,25.0,0.0,0.0,32.0,25.0,0.0,0.0,24,2018
MÉXICO,362,181,69.0,20.0,1.0,0.0,70.0,20.0,0.0,0.0,24,2018
GUERRERO,711,529,76.0,9.0,69.0,10.0,145.0,19.0,0.0,0.0,24,2018
TAMAULIPAS,964,556,100.0,15.0,6.0,4.0,106.0,19.0,0.0,0.0,24,2018
MICHOACÁN,569,493,76.0,17.0,9.0,1.0,85.0,18.0,0.0,1.0,24,2018
NAYARIT,936,207,48.0,2.0,12.0,3.0,60.0,5.0,0.0,0.0,24,2018
QUINTANA ROO,332,386,37.0,4.0,11.0,1.0,48.0,5.0,1.0,0.0,24,2018
GUANAJUATO,37,428,6.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,24,2018
COLIMA,435,424,25.0,0.0,5.0,3.0,30.0,3.0,0.0,0.0,24,2018
HIDALGO,132,86,17.0,3.0,0.0,0.0,17.0,3.0,0.0,0.0,24,2018
NUEVO LEÓN,"2,037",555,166.0,1.0,6.0,2.0,172.0,3.0,0.0,0.0,24,2018
PUEBLA,527,174,58.0,3.0,8.0,0.0,66.0,3.0,1.0,0.0,24,2018
MORELOS,844,477,31.0,0.0,43.0,2.0,74.0,2.0,0.0,0.0,24,2018
SINALOA,378,325,32.0,2.0,0.0,0.0,32.0,2.0,0.0,0.0,24,2018
OAXACA,499,465,12.0,1.0,4.0,0.0,16.0,1.0,0.0,0.0,24,2018
AGUASCALIENTES,7,10,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24,2018
BAJA CALIFORNIA,70,34,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,24,2018
BAJA CALIFORNIA SUR,131,156,5.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,24,2018
CAMPECHE,168,129,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,24,2018
COAHUILA,114,54,6.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,24,2018
CHIHUAHUA,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2018
DISTRITO FEDERAL,52,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2018
DURANGO,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2018
QUERÉTARO,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2018
SONORA,454,178,30.0,0.0,5.0,0.0,35.0,0.0,1.0,0.0,24,2018
TABASCO,387,224,29.0,0.0,17.0,0.0,46.0,0.0,0.0,0.0,24,2018
TLAXCALA,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2018
YUCATÁN,403,353,33.0,0.0,11.0,0.0,44.0,0.0,0.0,0.0,24,2018
ZACATECAS,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2018
CHIAPAS,230.0,551.0,31.0,24.0,34.0,185.0,65.0,209.0,0.0,0.0,11,2018
JALISCO,666.0,459.0,29.0,17.0,9.0,3.0,38.0,20.0,0.0,0.0,11,2018
GUERRERO,282.0,204.0,37.0,5.0,26.0,5.0,63.0,10.0,0.0,0.0,11,2018
VERACRUZ,476.0,472.0,49.0,7.0,21.0,3.0,70.0,10.0,0.0,0.0,11,2018
MICHOACÁN,249.0,175.0,47.0,9.0,4.0,0.0,51.0,9.0,0.0,0.0,11,2018
MÉXICO,65.0,51.0,12.0,4.0,0.0,0.0,12.0,4.0,0.0,0.0,11,2018
COLIMA,199.0,179.0,4.0,0.0,2.0,3.0,6.0,3.0,0.0,0.0,11,2018
TAMAULIPAS,469.0,186.0,45.0,2.0,3.0,1.0,48.0,3.0,0.0,0.0,11,2018
NUEVO LEÓN,987.0,158.0,76.0,1.0,0.0,1.0,76.0,2.0,0.0,0.0,11,2018
QUINTANA ROO,139.0,138.0,11.0,1.0,6.0,1.0,17.0,2.0,0.0,0.0,11,2018
PUEBLA,197.0,33.0,21.0,1.0,2.0,0.0,23.0,1.0,0.0,0.0,11,2018
MORELOS,376.0,182.0,13.0,0.0,24.0,1.0,37.0,1.0,0.0,0.0,11,2018
SINALOA,244.0,180.0,19.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0,11,2018
HIDALGO,42.0,31.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,11,2018
NAYARIT,280.0,68.0,16.0,0.0,5.0,1.0,21.0,1.0,0.0,0.0,11,2018
GUANAJUATO,11.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2018
DURANGO,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2018
SONORA,109.0,78.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11,2018
SAN LUIS POTOSÍ,74.0,32.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11,2018
COAHUILA,54.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11,2018
YUCATÁN,158.0,127.0,9.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,11,2018
OAXACA,192.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2018
TABASCO,187.0,106.0,17.0,0.0,7.0,0.0,24.0,0.0,0.0,0.0,11,2018
QUERÉTARO,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2018
BAJA CALIFORNIA SUR,53.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2018
BAJA CALIFORNIA,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2018
CHIHUAHUA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2018
CAMPECHE,91.0,42.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,2018
