Estado,Probables (año pasado),Probables (año actual),Confirmados Dengue No Grave (año pasado),Confirmados Dengue No Grave (año actual),Dengue con Signos de Alarma y Dengue Grave (año pasado),Dengue con Signos de Alarma y Dengue Grave (año actual),Total Confirmados (año pasado),Total Confirmados (año actual),Defunciones (año pasado),Defunciones (año actual),Semana_Epidemiologica,Anio
HIDALGO,"1,110",151,381,4.0,18.0,3.0,399,7.0,0.0,0.0,37,2021
QUINTANA ROO,"1,779",535,114,6.0,108.0,0.0,222,6.0,0.0,0.0,37,2021
BAJA CALIFORNIA SUR,80,78,4,1.0,0.0,1.0,4,2.0,0.0,0.0,37,2021
SONORA,161,92,3,1.0,0.0,0.0,3,1.0,0.0,0.0,37,2021
YUCATÁN,"1,077",291,47,0.0,93.0,1.0,140,1.0,1.0,0.0,37,2021
ZACATECAS,9,6,2,1.0,0.0,0.0,2,1.0,0.0,0.0,37,2021
AGUASCALIENTES,14,5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37,2021
BAJA CALIFORNIA,20,14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37,2021
CHIHUAHUA,9,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37,2021
CIUDAD DE MÉXICO,58,50,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37,2021
DURANGO,66,19,29,0.0,0.0,0.0,29,0.0,0.0,0.0,37,2021
QUERÉTARO,421,35,240,0.0,1.0,0.0,241,0.0,0.0,0.0,37,2021
TLAXCALA,10,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37,2021
VERACRUZ,"6,531","1,960",860,292.0,238.0,97.0,"1,098",389.0,1.0,0.0,36,2021
MORELOS,"1,963","2,313",162,186.0,122.0,179.0,284,365.0,0.0,1.0,36,2021
GUERRERO,"4,549","1,559",132,114.0,273.0,140.0,405,254.0,0.0,1.0,36,2021
OAXACA,"2,104","2,109",57,93.0,46.0,114.0,103,207.0,5.0,3.0,36,2021
MICHOACÁN,"5,871","1,100","1,047",89.0,86.0,34.0,"1,133",123.0,0.0,2.0,36,2021
MÉXICO,550,401,72,109.0,0.0,10.0,72,119.0,0.0,0.0,36,2021
COLIMA,"1,104",836,47,47.0,54.0,56.0,101,103.0,3.0,0.0,36,2021
JALISCO,"11,280","2,889","1,788",83.0,334.0,20.0,"2,122",103.0,2.0,1.0,36,2021
PUEBLA,"2,021",604,361,78.0,51.0,19.0,412,97.0,1.0,0.0,36,2021
CHIAPAS,"1,393",935,50,32.0,122.0,59.0,172,91.0,4.0,0.0,36,2021
SAN LUIS POTOSÍ,"2,870",652,849,59.0,21.0,2.0,870,61.0,0.0,0.0,36,2021
SINALOA,680,404,75,28.0,32.0,25.0,107,53.0,0.0,0.0,36,2021
NUEVO LEÓN,647,650,101,29.0,32.0,3.0,133,32.0,0.0,0.0,36,2021
TABASCO,"2,929",452,111,13.0,279.0,14.0,390,27.0,9.0,0.0,36,2021
NAYARIT,"2,848",436,57,11.0,295.0,12.0,352,23.0,2.0,0.0,36,2021
GUANAJUATO,353,245,24,16.0,1.0,0.0,25,16.0,0.0,0.0,36,2021
TAMAULIPAS,"5,003","1,147",475,4.0,81.0,9.0,556,13.0,0.0,0.0,36,2021
COAHUILA,295,233,26,8.0,4.0,2.0,30,10.0,0.0,0.0,36,2021
QUINTANA ROO,"1,758",522,114,6.0,108.0,0.0,222,6.0,0.0,0.0,36,2021
CAMPECHE,684,125,10,3.0,28.0,2.0,38,5.0,0.0,0.0,36,2021
HIDALGO,"1,066",137,380,2.0,18.0,2.0,398,4.0,0.0,0.0,36,2021
BAJA CALIFORNIA SUR,76,72,4,1.0,0.0,1.0,4,2.0,0.0,0.0,36,2021
SONORA,161,86,3,1.0,0.0,0.0,3,1.0,0.0,0.0,36,2021
YUCATÁN,"1,065",287,47,0.0,93.0,1.0,140,1.0,1.0,0.0,36,2021
ZACATECAS,8,6,2,1.0,0.0,0.0,2,1.0,0.0,0.0,36,2021
AGUASCALIENTES,13,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,2021
BAJA CALIFORNIA,20,14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,2021
CHIHUAHUA,9,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,2021
CIUDAD DE MÉXICO,54,50,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,2021
DURANGO,56,18,22,0.0,0.0,0.0,22,0.0,0.0,0.0,36,2021
QUERÉTARO,390,35,220,0.0,1.0,0.0,221,0.0,0.0,0.0,36,2021
TLAXCALA,10,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,2021
VERACRUZ,"6,987","2,459",945,406.0,258.0,136.0,"1,203",542.0,1.0,0.0,40,2021
MORELOS,"2,705","2,664",288,194.0,170.0,229.0,458,423.0,0.0,3.0,40,2021
COAHUILA,"1,035",767,166,275.0,15.0,31.0,181,306.0,0.0,0.0,40,2021
GUERRERO,"5,192","1,651",168,117.0,322.0,150.0,490,267.0,0.0,1.0,40,2021
OAXACA,"2,578","2,638",89,126.0,66.0,141.0,155,267.0,5.0,3.0,40,2021
SINALOA,995,794,154,122.0,45.0,63.0,199,185.0,0.0,0.0,40,2021
MICHOACÁN,"7,659","1,218","1,473",106.0,112.0,42.0,"1,585",148.0,0.0,3.0,40,2021
MÉXICO,671,442,126,112.0,1.0,10.0,127,122.0,0.0,0.0,40,2021
CHIAPAS,"1,539","1,086",58,38.0,144.0,80.0,202,118.0,4.0,0.0,40,2021
JALISCO,"14,864","3,235","2,677",97.0,490.0,21.0,"3,167",118.0,2.0,2.0,40,2021
COLIMA,"1,358",916,76,50.0,78.0,63.0,154,113.0,3.0,0.0,40,2021
PUEBLA,"3,140",677,553,83.0,94.0,22.0,647,105.0,1.0,1.0,40,2021
SAN LUIS POTOSÍ,"4,390",730,"1,179",68.0,26.0,3.0,"1,205",71.0,0.0,0.0,40,2021
TABASCO,"2,966",588,113,25.0,280.0,26.0,393,51.0,9.0,0.0,40,2021
NUEVO LEÓN,"1,485",735,285,35.0,88.0,5.0,373,40.0,0.0,0.0,40,2021
SONORA,173,187,3,33.0,0.0,3.0,3,36.0,0.0,0.0,40,2021
NAYARIT,"3,534",479,93,11.0,341.0,14.0,434,25.0,2.0,0.0,40,2021
GUANAJUATO,633,273,113,19.0,2.0,1.0,115,20.0,0.0,0.0,40,2021
HIDALGO,"1,250",176,383,9.0,19.0,6.0,402,15.0,0.0,0.0,40,2021
TAMAULIPAS,"7,875","1,209","1,129",5.0,136.0,9.0,"1,265",14.0,0.0,0.0,40,2021
CAMPECHE,703,142,10,4.0,28.0,4.0,38,8.0,0.0,0.0,40,2021
QUINTANA ROO,"1,831",561,115,6.0,108.0,0.0,223,6.0,0.0,0.0,40,2021
BAJA CALIFORNIA SUR,102,101,5,1.0,0.0,1.0,5,2.0,0.0,0.0,40,2021
YUCATÁN,"1,100",325,50,0.0,94.0,2.0,144,2.0,1.0,0.0,40,2021
ZACATECAS,14,6,3,1.0,0.0,0.0,3,1.0,0.0,0.0,40,2021
AGUASCALIENTES,15,7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,2021
BAJA CALIFORNIA,22,14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,2021
CHIHUAHUA,11,5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,2021
CIUDAD DE MÉXICO,63,53,0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,2021
DURANGO,163,18,66,0.0,1.0,0.0,67,0.0,0.0,0.0,40,2021
QUERÉTARO,489,41,296,0.0,1.0,0.0,297,0.0,0.0,0.0,40,2021
TLAXCALA,10,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,2021
VERACRUZ,"7,090","2,616",980,462.0,266.0,155.0,"1,246",617.0,1.0,0.0,41,2021
MORELOS,"2,833","2,766",321,198.0,176.0,237.0,497,435.0,1.0,3.0,41,2021
COAHUILA,"1,338","1,034",240,361.0,19.0,39.0,259,400.0,0.0,0.0,41,2021
OAXACA,"2,670","2,796",103,130.0,74.0,146.0,177,276.0,6.0,3.0,41,2021
GUERRERO,"5,347","1,669",201,117.0,338.0,151.0,539,268.0,8.0,1.0,41,2021
SINALOA,"1,229","1,059",186,162.0,60.0,93.0,246,255.0,0.0,0.0,41,2021
MICHOACÁN,"8,197","1,242","1,552",106.0,125.0,43.0,"1,677",149.0,0.0,3.0,41,2021
CHIAPAS,"1,574","1,135",61,47.0,175.0,89.0,236,136.0,4.0,0.0,41,2021
MÉXICO,684,449,180,112.0,4.0,10.0,184,122.0,0.0,0.0,41,2021
JALISCO,"15,977","3,353","2,922",98.0,557.0,22.0,"3,479",120.0,9.0,2.0,41,2021
COLIMA,"1,429",946,87,50.0,88.0,64.0,175,114.0,3.0,0.0,41,2021
PUEBLA,"3,387",697,612,85.0,114.0,22.0,726,107.0,1.0,1.0,41,2021
SAN LUIS POTOSÍ,"4,825",745,"1,184",68.0,27.0,3.0,"1,211",71.0,3.0,0.0,41,2021
TABASCO,"2,971",622,113,27.0,280.0,28.0,393,55.0,9.0,0.0,41,2021
NUEVO LEÓN,"2,050",757,360,38.0,113.0,5.0,473,43.0,0.0,0.0,41,2021
SONORA,178,200,3,34.0,0.0,4.0,3,38.0,0.0,0.0,41,2021
NAYARIT,"3,791",485,109,11.0,360.0,14.0,469,25.0,3.0,0.0,41,2021
GUANAJUATO *,708,275,155,20.0,2.0,0.0,157,20.0,0.0,0.0,41,2021
HIDALGO,"1,307",182,633,11.0,26.0,6.0,659,17.0,0.0,0.0,41,2021
TAMAULIPAS,"8,986","1,228","1,340",6.0,171.0,9.0,"1,511",15.0,0.0,0.0,41,2021
CAMPECHE,706,145,11,4.0,28.0,6.0,39,10.0,0.0,0.0,41,2021
QUINTANA ROO,"1,847",576,115,6.0,108.0,0.0,223,6.0,0.0,0.0,41,2021
BAJA CALIFORNIA SUR,125,108,6,1.0,0.0,1.0,6,2.0,0.0,0.0,41,2021
YUCATÁN,"1,106",331,50,0.0,94.0,2.0,144,2.0,2.0,0.0,41,2021
ZACATECAS,23,6,8,1.0,0.0,0.0,8,1.0,0.0,0.0,41,2021
AGUASCALIENTES,15,7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,2021
BAJA CALIFORNIA,22,15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,2021
CHIHUAHUA,14,5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,2021
CIUDAD DE MÉXICO,66,57,0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,2021
DURANGO,192,18,68,0.0,1.0,0.0,69,0.0,0.0,0.0,41,2021
QUERÉTARO,506,43,302,0.0,2.0,0.0,304,0.0,0.0,0.0,41,2021
TLAXCALA,10,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,2021
COLIMA,337,211.0,17.0,17.0,17.0,20.0,34.0,37.0,1.0,0.0,09,2021
MICHOACÁN,463,282.0,39.0,26.0,10.0,4.0,49.0,30.0,0.0,0.0,09,2021
JALISCO,"1,229",481.0,66.0,18.0,45.0,8.0,111.0,26.0,0.0,0.0,09,2021
VERACRUZ,"2,856",220.0,333.0,13.0,110.0,6.0,443.0,19.0,0.0,0.0,09,2021
SINALOA,348,121.0,28.0,6.0,15.0,9.0,43.0,15.0,0.0,0.0,09,2021
GUERRERO,"1,311",251.0,36.0,3.0,94.0,9.0,130.0,12.0,0.0,0.0,09,2021
MÉXICO,97,46.0,1.0,8.0,0.0,2.0,1.0,10.0,0.0,0.0,09,2021
CHIAPAS,509,105.0,13.0,1.0,45.0,6.0,58.0,7.0,0.0,0.0,09,2021
OAXACA,604,128.0,9.0,1.0,12.0,6.0,21.0,7.0,0.0,0.0,09,2021
SAN LUIS POTOSÍ,434,73.0,0.0,7.0,1.0,0.0,1.0,7.0,0.0,0.0,09,2021
TAMAULIPAS,"1,399",188.0,13.0,3.0,21.0,4.0,34.0,7.0,0.0,0.0,09,2021
MORELOS,294,106.0,5.0,4.0,25.0,1.0,30.0,5.0,0.0,0.0,09,2021
NUEVO LEÓN,113,77.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,09,2021
NAYARIT,685,94.0,15.0,2.0,83.0,1.0,98.0,3.0,0.0,0.0,09,2021
PUEBLA,130,49.0,9.0,2.0,5.0,1.0,14.0,3.0,0.0,0.0,09,2021
TABASCO,"1,610",71.0,60.0,1.0,194.0,2.0,254.0,3.0,0.0,0.0,09,2021
BAJA CALIFORNIA SUR,26,6.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,09,2021
SONORA,83,9.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,09,2021
AGUASCALIENTES,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2021
BAJA CALIFORNIA,5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2021
CAMPECHE,329,25.0,8.0,0.0,21.0,0.0,29.0,0.0,0.0,0.0,09,2021
COAHUILA,25,50.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,09,2021
CHIHUAHUA,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2021
CIUDAD DE MÉXICO,24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2021
DURANGO,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2021
GUANAJUATO,62,20.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,09,2021
HIDALGO,61,5.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,09,2021
QUERÉTARO,17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2021
QUINTANA ROO,994,102.0,88.0,0.0,94.0,0.0,182.0,0.0,0.0,0.0,09,2021
TLAXCALA,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2021
YUCATÁN,458,57.0,33.0,0.0,68.0,0.0,101.0,0.0,0.0,0.0,09,2021
ZACATECAS,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2021
COLIMA,285,186.0,14.0,17.0,16.0,19.0,30.0,36.0,1.0,0.0,08,2021
MICHOACÁN,393,252.0,38.0,26.0,9.0,4.0,47.0,30.0,0.0,0.0,08,2021
JALISCO,"1,084",436.0,61.0,18.0,41.0,8.0,102.0,26.0,0.0,0.0,08,2021
SINALOA,319,109.0,28.0,6.0,15.0,8.0,43.0,14.0,0.0,0.0,08,2021
VERACRUZ,"2,589",184.0,298.0,7.0,99.0,5.0,397.0,12.0,0.0,0.0,08,2021
MÉXICO,88,43.0,1.0,8.0,0.0,2.0,1.0,10.0,0.0,0.0,08,2021
GUERRERO,"1,143",219.0,30.0,2.0,80.0,7.0,110.0,9.0,0.0,0.0,08,2021
SAN LUIS POTOSÍ,395,65.0,0.0,7.0,1.0,0.0,1.0,7.0,0.0,0.0,08,2021
CHIAPAS,459,95.0,13.0,1.0,43.0,5.0,56.0,6.0,0.0,0.0,08,2021
TAMAULIPAS,"1,269",174.0,11.0,3.0,20.0,3.0,31.0,6.0,0.0,0.0,08,2021
MORELOS,267,88.0,4.0,4.0,25.0,1.0,29.0,5.0,0.0,0.0,08,2021
OAXACA,550,111.0,9.0,1.0,11.0,4.0,20.0,5.0,0.0,1.0,08,2021
NUEVO LEÓN,98,71.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,08,2021
PUEBLA,123,46.0,8.0,2.0,5.0,1.0,13.0,3.0,0.0,0.0,08,2021
NAYARIT *,613,83.0,14.0,2.0,72.0,0.0,86.0,2.0,0.0,0.0,08,2021
TABASCO,"1,341",61.0,35.0,0.0,150.0,2.0,185.0,2.0,0.0,0.0,08,2021
BAJA CALIFORNIA SUR,21,6.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,08,2021
SONORA,79,9.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,08,2021
AGUASCALIENTES,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2021
BAJA CALIFORNIA,5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2021
CAMPECHE,294,20.0,6.0,0.0,18.0,0.0,24.0,0.0,0.0,0.0,08,2021
COAHUILA,22,49.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,08,2021
CHIHUAHUA,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2021
CIUDAD DE MÉXICO,21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2021
DURANGO,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2021
GUANAJUATO,51,17.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,08,2021
HIDALGO,59,4.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,08,2021
QUERÉTARO,17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2021
QUINTANA ROO,913,91.0,80.0,0.0,85.0,0.0,165.0,0.0,0.0,0.0,08,2021
TLAXCALA,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2021
YUCATÁN,426,47.0,32.0,0.0,59.0,0.0,91.0,0.0,0.0,0.0,08,2021
ZACATECAS,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2021
JALISCO,356.0,208.0,4.0,9.0,7.0,2.0,11.0,11.0,0.0,0.0,03,2021
COLIMA,82.0,89.0,2.0,6.0,0.0,2.0,2.0,8.0,0.0,0.0,03,2021
MICHOACÁN,128.0,97.0,2.0,5.0,1.0,3.0,3.0,8.0,0.0,0.0,03,2021
SINALOA,99.0,58.0,6.0,3.0,1.0,3.0,7.0,6.0,0.0,0.0,03,2021
SAN LUIS POTOSÍ,152.0,22.0,0.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,03,2021
NUEVO LEÓN,34.0,35.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,03,2021
TAMAULIPAS,383.0,93.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,03,2021
VERACRUZ,827.0,63.0,42.0,2.0,10.0,1.0,52.0,3.0,0.0,0.0,03,2021
CHIAPAS,150.0,35.0,2.0,1.0,6.0,1.0,8.0,2.0,0.0,0.0,03,2021
GUERRERO,342.0,91.0,2.0,0.0,17.0,2.0,19.0,2.0,0.0,0.0,03,2021
BAJA CALIFORNIA SUR,7.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,03,2021
MORELOS,97.0,27.0,3.0,0.0,16.0,1.0,19.0,1.0,0.0,0.0,03,2021
NAYARIT,169.0,34.0,3.0,1.0,13.0,0.0,16.0,1.0,0.0,0.0,03,2021
AGUASCALIENTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
BAJA CALIFORNIA,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
CAMPECHE,80.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,03,2021
COAHUILA,6.0,28.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,03,2021
CHIHUAHUA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
CIUDAD DE MÉXICO,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
DURANGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
GUANAJUATO,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
HIDALGO,21.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,03,2021
MÉXICO,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
OAXACA,200.0,40.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,03,2021
PUEBLA,42.0,25.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,03,2021
QUERÉTARO,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
QUINTANA ROO,307.0,38.0,7.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0,03,2021
SONORA,23.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,03,2021
TABASCO,312.0,16.0,4.0,0.0,21.0,0.0,25.0,0.0,0.0,0.0,03,2021
TLAXCALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
YUCATÁN,151.0,19.0,4.0,0.0,13.0,0.0,17.0,0.0,0.0,0.0,03,2021
ZACATECAS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2021
JALISCO,147.0,153.0,0.0,5.0,1.0,2.0,1.0,7.0,0.0,0.0,02,2021
MICHOACÁN,58.0,57.0,1.0,3.0,1.0,2.0,2.0,5.0,0.0,0.0,02,2021
COLIMA,44.0,49.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,02,2021
SINALOA,41.0,28.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,02,2021
TAMAULIPAS,167.0,60.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,02,2021
CHIAPAS,57.0,24.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,02,2021
NUEVO LEÓN,11.0,26.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,02,2021
VERACRUZ,395.0,33.0,11.0,2.0,0.0,0.0,11.0,2.0,0.0,0.0,02,2021
MORELOS,47.0,16.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,02,2021
NAYARIT,79.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,02,2021
AGUASCALIENTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
BAJA CALIFORNIA,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
BAJA CALIFORNIA SUR,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
CAMPECHE,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
COAHUILA,4.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,02,2021
CHIHUAHUA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
CIUDAD DE MÉXICO,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
DURANGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
GUANAJUATO,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
GUERRERO,163.0,51.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,02,2021
HIDALGO,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
MÉXICO,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
OAXACA,78.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
PUEBLA,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
QUERÉTARO,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
QUINTANA ROO,153.0,26.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,02,2021
SAN LUIS POTOSÍ,46.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
SONORA,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
TABASCO,167.0,10.0,1.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,02,2021
TLAXCALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
YUCATÁN,78.0,14.0,3.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,02,2021
ZACATECAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2021
GUERRERO,"2,292",609.0,64.0,34.0,166.0,44.0,230.0,78.0,0.0,0.0,20,2021
VERACRUZ,"4,505",616.0,580.0,50.0,194.0,27.0,774.0,77.0,1.0,0.0,20,2021
COLIMA,627,454.0,23.0,26.0,28.0,35.0,51.0,61.0,2.0,0.0,20,2021
MICHOACÁN,"1,094",568.0,111.0,43.0,19.0,14.0,130.0,57.0,0.0,0.0,20,2021
MORELOS,539,469.0,8.0,34.0,46.0,18.0,54.0,52.0,0.0,0.0,20,2021
JALISCO,"2,444",990.0,245.0,31.0,84.0,14.0,329.0,45.0,0.0,0.0,20,2021
OAXACA,"1,025",363.0,17.0,14.0,23.0,20.0,40.0,34.0,2.0,2.0,20,2021
SINALOA,487,187.0,39.0,9.0,25.0,17.0,64.0,26.0,0.0,0.0,20,2021
CHIAPAS,863,358.0,30.0,8.0,70.0,13.0,100.0,21.0,0.0,0.0,20,2021
NAYARIT,"1,460",202.0,22.0,7.0,201.0,6.0,223.0,13.0,1.0,0.0,20,2021
TABASCO,"2,601",231.0,107.0,4.0,272.0,9.0,379.0,13.0,4.0,0.0,20,2021
MÉXICO,269,98.0,24.0,10.0,0.0,2.0,24.0,12.0,0.0,0.0,20,2021
SAN LUIS POTOSÍ,850,156.0,116.0,7.0,8.0,0.0,124.0,7.0,0.0,0.0,20,2021
