Estado,Probables (año pasado),Probables (año actual),Confirmados Dengue No Grave (año pasado),Confirmados Dengue No Grave (año actual),Dengue con Signos de Alarma y Dengue Grave (año pasado),Dengue con Signos de Alarma y Dengue Grave (año actual),Total Confirmados (año pasado),Total Confirmados (año actual),Defunciones (año pasado),Defunciones (año actual),Semana_Epidemiologica,Anio
VERACRUZ,"6,658","2,053",878,313.0,239.0,114.0,"1,117",427.0,1.0,0.0,37,2021
MORELOS,"2,154","2,387",206,188.0,134.0,189.0,340,377.0,0.0,1.0,37,2021
GUERRERO,"4,754","1,581",148,114.0,299.0,146.0,447,260.0,0.0,1.0,37,2021
OAXACA,"2,229","2,172",62,97.0,48.0,117.0,110,214.0,5.0,3.0,37,2021
MICHOACÁN,"6,309","1,126","1,131",94.0,93.0,37.0,"1,224",131.0,0.0,2.0,37,2021
MÉXICO,584,412,82,110.0,0.0,10.0,82,120.0,0.0,0.0,37,2021
JALISCO,"12,217","2,950","2,004",87.0,371.0,20.0,"2,375",107.0,2.0,1.0,37,2021
COLIMA,"1,159",848,54,47.0,55.0,57.0,109,104.0,3.0,0.0,37,2021
CHIAPAS,"1,428",963,50,34.0,128.0,65.0,178,99.0,4.0,0.0,37,2021
PUEBLA,"2,341",618,389,78.0,60.0,19.0,449,97.0,1.0,0.0,37,2021
SINALOA,712,456,88,43.0,33.0,28.0,121,71.0,0.0,0.0,37,2021
SAN LUIS POTOSÍ,"3,202",672,947,59.0,21.0,2.0,968,61.0,0.0,0.0,37,2021
NUEVO LEÓN,757,666,129,30.0,47.0,3.0,176,33.0,0.0,0.0,37,2021
TABASCO,"2,941",469,112,16.0,279.0,14.0,391,30.0,9.0,0.0,37,2021
NAYARIT,"3,025",441,67,11.0,308.0,12.0,375,23.0,2.0,0.0,37,2021
COAHUILA,409,264,44,14.0,6.0,4.0,50,18.0,0.0,0.0,37,2021
GUANAJUATO,401,255,39,16.0,2.0,0.0,41,16.0,0.0,0.0,37,2021
TAMAULIPAS,"5,583","1,153",636,5.0,90.0,9.0,726,14.0,0.0,0.0,37,2021
CAMPECHE,697,127,10,4.0,28.0,3.0,38,7.0,0.0,0.0,37,2021
