Estado,Probables (año pasado),Probables (año actual),Confirmados Dengue No Grave (año pasado),Confirmados Dengue No Grave (año actual),Dengue con Signos de Alarma y Dengue Grave (año pasado),Dengue con Signos de Alarma y Dengue Grave (año actual),Total Confirmados (año pasado),Total Confirmados (año actual),Defunciones (año pasado),Defunciones (año actual),Semana_Epidemiologica,Anio
VERACRUZ,"1,216","2,589",122.0,298.0,48.0,99.0,170.0,397.0,1.0,0.0,08,2020
TABASCO,397,"1,341",42.0,35.0,26.0,150.0,68.0,185.0,0.0,0.0,08,2020
QUINTANA ROO,392,913,59.0,80.0,18.0,85.0,77.0,165.0,0.0,0.0,08,2020
GUERRERO,193,"1,143",2.0,30.0,1.0,80.0,3.0,110.0,0.0,0.0,08,2020
JALISCO,934,"1,084",62.0,61.0,22.0,41.0,84.0,102.0,0.0,0.0,08,2020
YUCATÁN,76,426,3.0,32.0,2.0,59.0,5.0,91.0,0.0,0.0,08,2020
NAYARIT,116,613,6.0,14.0,3.0,72.0,9.0,86.0,0.0,0.0,08,2020
CHIAPAS,502,459,43.0,13.0,114.0,43.0,157.0,56.0,1.0,0.0,08,2020
MICHOACÁN,309,393,42.0,38.0,7.0,9.0,49.0,47.0,0.0,0.0,08,2020
SINALOA,111,319,9.0,28.0,2.0,15.0,11.0,43.0,0.0,0.0,08,2020
TAMAULIPAS,142,"1,269",11.0,11.0,3.0,20.0,14.0,31.0,0.0,0.0,08,2020
COLIMA,219,285,7.0,14.0,4.0,16.0,11.0,30.0,0.0,1.0,08,2020
MORELOS,109,267,1.0,4.0,6.0,25.0,7.0,29.0,0.0,0.0,08,2020
CAMPECHE,25,294,0.0,6.0,2.0,18.0,2.0,24.0,0.0,0.0,08,2020
OAXACA,291,550,8.0,9.0,12.0,11.0,20.0,20.0,0.0,0.0,08,2020
HIDALGO,18,59,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,08,2020
PUEBLA,45,123,1.0,8.0,2.0,5.0,3.0,13.0,0.0,0.0,08,2020
SONORA,40,79,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,08,2020
BAJA CALIFORNIA SUR,47,21,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,08,2020
COAHUILA,5,22,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,08,2020
GUANAJUATO,11,51,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,08,2020
MÉXICO,36,88,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,08,2020
NUEVO LEÓN,121,98,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,08,2020
SAN LUIS POTOSÍ,124,395,16.0,0.0,2.0,1.0,18.0,1.0,0.0,0.0,08,2020
AGUASCALIENTES,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2020
BAJA CALIFORNIA,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2020
CHIHUAHUA,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2020
CIUDAD DE MÉXICO,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2020
DURANGO,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2020
QUERÉTARO,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2020
TLAXCALA,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2020
ZACATECAS,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2020
VERACRUZ,"1,371","2,856",140.0,333.0,55.0,110.0,195.0,443.0,1.0,0.0,09,2020
TABASCO,460,"1,610",49.0,60.0,31.0,194.0,80.0,254.0,0.0,0.0,09,2020
QUINTANA ROO,459,994,69.0,88.0,20.0,94.0,89.0,182.0,0.0,0.0,09,2020
GUERRERO,243,"1,311",2.0,36.0,1.0,94.0,3.0,130.0,0.0,0.0,09,2020
JALISCO,"1,062","1,229",72.0,66.0,26.0,45.0,98.0,111.0,0.0,0.0,09,2020
YUCATÁN,92,458,3.0,33.0,2.0,68.0,5.0,101.0,0.0,0.0,09,2020
NAYARIT,125,685,7.0,15.0,5.0,83.0,12.0,98.0,0.0,0.0,09,2020
CHIAPAS,587,509,46.0,13.0,120.0,45.0,166.0,58.0,2.0,0.0,09,2020
