Estado,Probables (año pasado),Probables (año actual),Confirmados Dengue No Grave (año pasado),Confirmados Dengue No Grave (año actual),Dengue con Signos de Alarma y Dengue Grave (año pasado),Dengue con Signos de Alarma y Dengue Grave (año actual),Total Confirmados (año pasado),Total Confirmados (año actual),Defunciones (año pasado),Defunciones (año actual),Semana_Epidemiologica,Anio
GUERRERO,444.0,312.0,61.0,42.0,16.0,56.0,77.0,98.0,0.0,0.0,03,2016
CHIAPAS,414.0,248.0,26.0,38.0,8.0,15.0,34.0,53.0,0.0,0.0,03,2016
TABASCO,70.0,318.0,6.0,31.0,2.0,9.0,8.0,40.0,0.0,0.0,03,2016
VERACRUZ,176.0,341.0,22.0,23.0,23.0,14.0,45.0,37.0,0.0,0.0,03,2016
JALISCO,140.0,468.0,11.0,27.0,2.0,1.0,13.0,28.0,0.0,0.0,03,2016
MICHOACÁN,65.0,78.0,11.0,21.0,1.0,1.0,12.0,22.0,0.0,0.0,03,2016
QUINTANA ROO,168.0,227.0,16.0,8.0,20.0,7.0,36.0,15.0,0.0,0.0,03,2016
SONORA,102.0,58.0,28.0,11.0,4.0,3.0,32.0,14.0,0.0,0.0,03,2016
OAXACA,238.0,141.0,0.0,9.0,0.0,4.0,0.0,13.0,0.0,0.0,03,2016
PUEBLA,26.0,92.0,0.0,12.0,0.0,1.0,0.0,13.0,0.0,0.0,03,2016
TAMAULIPAS,48.0,137.0,4.0,9.0,0.0,2.0,4.0,11.0,0.0,0.0,03,2016
COLIMA,102.0,107.0,17.0,5.0,6.0,3.0,23.0,8.0,0.0,0.0,03,2016
SINALOA,106.0,182.0,3.0,6.0,8.0,1.0,11.0,7.0,0.0,0.0,03,2016
BAJA CALIFORNIA SUR,43.0,48.0,8.0,6.0,2.0,0.0,10.0,6.0,0.0,0.0,03,2016
NAYARIT,21.0,238.0,2.0,1.0,2.0,4.0,4.0,5.0,0.0,0.0,03,2016
MORELOS,60.0,82.0,6.0,1.0,1.0,2.0,7.0,3.0,0.0,0.0,03,2016
NUEVO LEÓN,107.0,288.0,5.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,03,2016
SAN LUIS POTOSÍ,58.0,19.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,03,2016
YUCATÁN,118.0,34.0,12.0,2.0,6.0,1.0,18.0,3.0,0.0,0.0,03,2016
